volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_spleen,seg_liver
KORA2456241,12240,12257,12271,12166,12288,12090,12389,12447,12203,12175,87565,87915,87340,87995,87746,87500,87485,87217,87582,87276,87492,12185
KORA2459972,12962,12158,12642,12838,11041,11930,11352,13159,11809,12580,139654,140251,140171,138035,138268,140251,139359,141800,140100,141621,140144,12298
KORA2455525,13070,13023,13028,13125,13055,13088,13099,13068,13089,13071,170632,171251,170836,170260,170497,170812,170201,169873,170766,170956,170383,13053
KORA2452316,6337,6567,6375,6637,6639,6464,6322,6427,6637,6436,96891,97865,97560,96512,96663,97091,97196,96681,97220,97112,96962,6435
KORA2461632,16277,16257,16230,16391,16240,16284,16345,16370,16238,16280,159535,159416,159464,159906,158724,160010,159436,159732,159539,158812,159159,16277
KORA2460472,19513,19403,19419,19398,19538,19384,19381,19440,19401,19498,127537,127514,127592,127239,127427,127203,127440,127375,127710,127651,127409,19436
KORA2459067,17244,17222,17248,17407,17279,17290,17368,17273,17311,17365,115433,115514,115352,115074,114926,115442,115517,115714,115176,115171,115121,17281
KORA2452206,14613,14715,14725,14781,14530,14667,14624,14725,14609,14512,86591,86600,86067,86394,85911,86246,86234,86541,86885,86387,86341,14614
KORA2460315,10569,10575,10463,10571,10617,10449,10629,10551,10715,10355,158186,158246,158840,158755,158557,159019,159039,158701,158658,159335,158866,10522
KORA2462119,17146,16840,16975,16756,17183,17035,16785,16786,17164,16911,158041,157976,157777,158286,158010,157799,158556,157637,157942,157819,157534,16663
KORA2457401,24982,24963,25017,24972,24878,25006,25036,24926,24975,24935,184567,183976,183019,183121,184213,184953,183207,184555,184083,183231,183620,24870
KORA2462380,24282,24630,24675,24372,24415,24592,24397,24560,24570,24699,171243,171099,170828,172316,171658,170076,171571,170501,171419,171424,171200,24511
KORA2461577,6179,6180,6152,6021,6054,6079,6025,6048,6047,6247,103482,103102,103427,103286,104050,103468,103983,103279,102936,103430,103343,6060
KORA2458265,42446,42376,43165,42560,42209,42990,42744,42718,42201,42695,281146,278869,280810,280304,280487,280076,278780,280105,280750,279069,280504,42643
KORA2452353,18823,18850,18883,18831,18717,18985,18887,18910,18867,18789,175606,175931,175594,175620,175669,176255,175904,175733,176499,175921,175509,18839
KORA2459873,13593,13586,13620,13618,13400,13410,13412,13810,13591,13465,142925,142984,142494,141988,142800,142356,143210,143489,143213,142602,142740,13552
KORA2456917,14025,14008,13790,14238,13871,14048,14358,14151,14266,13915,111157,111289,111023,111793,111274,111234,110983,111477,111804,112044,110948,14087
KORA2459123,7554,7470,7567,7441,7539,7473,7710,7616,7427,7536,134551,134433,134511,135098,134939,134820,134674,134873,134583,134873,134610,7529
KORA2453363,26419,26268,26048,26146,26239,26179,26269,26339,26331,26136,125724,125509,125782,125816,125519,126317,125701,125951,125744,125781,125793,26232
KORA2455296,11861,11555,11731,11629,11629,11737,11846,11839,11860,11642,177226,176548,175529,178657,177764,178880,177323,176987,179135,177339,177465,11725
